Reference Number,Model,Bezel,Case Material,Reference Letters,Reference Letters Meaning
16613,Submariner Date,Finely Engine Turned,Stainless & Yellow Gold,,Unknown Reference Letters
16013,Submariner Date,Finely Engine Turned,Stainless & Yellow Gold,,Unknown Reference Letters
5116,Unknown Model,N/A,N/A,,Unknown Reference Letters
326934,Sky-Dweller,Fluted,Stainless w/ 18k White Gold,,Unknown Reference Letters
14270,Oyster Perpetual,Unknown Bezel,Stainless,,Unknown Reference Letters
126710BLNR,GMT Master,Finely Engine Turned,Stainless,BLNR,Bleu Noir (Blue Black)
16622,Yacht-Master,Engine Turned,White Gold Filled,,Unknown Reference Letters
126508,Datejust,Polished,18k Yellow Gold,,Unknown Reference Letters
116515ln,Daytona Cosmograph,Finely Engine Turned,Gold Shell,ln,Lunette Noir (Black Bezel)
116610LV,Submariner,Finely Engine Turned,Stainless,LV,Lunette Verte (Green Bezel)
126715CHNR,GMT-Master,Finely Engine Turned,Gold Shell,CHNR,Chocolate Noir (Brown Black)
126300,Datejust,Polished,Stainless,,Unknown Reference Letters
16570,Daytona Cosmograph,Unknown Bezel,Stainless,,Unknown Reference Letters
126000,Sea-Dweller-Deepsea,Polished,Stainless,,Unknown Reference Letters
114060,Submariner,Rotating Bezel,Stainless,,Unknown Reference Letters
126234,Datejust 36,Fluted,Stainless w/ 18k White Gold,,Unknown Reference Letters
16600,Submariner Date,Polished,Stainless,,Unknown Reference Letters
5500,Submariner,N/A,N/A,,Unknown Reference Letters
179313,Unknown Model,Finely Engine Turned,Stainless & Yellow Gold,,Unknown Reference Letters
67193,Oyster Perpetual,Unknown Bezel,Stainless & Yellow Gold,,Unknown Reference Letters
126234,Datejust 36,Fluted,Stainless w/ 18k White Gold,,Unknown Reference Letters
126334,Datejust,Fluted,Stainless w/ 18k White Gold,,Unknown Reference Letters
124060,Oyster Perpetual,Rotating Bezel,Stainless,,Unknown Reference Letters
126334,Datejust,Fluted,Stainless w/ 18k White Gold,,Unknown Reference Letters
126613LN,Submariner Date,Finely Engine Turned,Stainless & Yellow Gold,LN,Lunette Noir (Black Bezel)
116500LN,Daytona,Polished,Stainless,LN,Lunette Noir (Black Bezel)
116681,Submariner Date,Unknown Bezel,Yellow Gold Filled,,Unknown Reference Letters
16523,Daytona Cosmograph,Engine Turned,Stainless & Yellow Gold,,Unknown Reference Letters
16713,GMT Master II,Finely Engine Turned,Stainless & Yellow Gold,,Unknown Reference Letters
114300,Oyster Perpetual,Polished,Stainless,,Unknown Reference Letters
14060,Submariner,Rotating Bezel,Stainless,,Unknown Reference Letters
116520,Daytona,Engine Turned,Stainless,,Unknown Reference Letters
126610LN,Submariner,Finely Engine Turned,Stainless,LN,Lunette Noir (Black Bezel)
116613LB,Submariner Date,Finely Engine Turned,Stainless & Yellow Gold,LB,Lunette Bleu (Blue Bezel)
126900,Datejust,Polished,Stainless,,Unknown Reference Letters
16610,Submariner Date,Finely Engine Turned,Stainless,,Unknown Reference Letters
126720VTNR,GMT-Master II,Engine Turned,Stainless,VTNR,"Verte Noir (Green Black Bezel, Left-handed GMT)"
126333,Datejust 41,Fluted,Stainless & Yellow Gold,,Unknown Reference Letters
1500,Oyster Perpetual Date,N/A,N/A,,Unknown Reference Letters
228235,Day-Date 40,Fluted,Gold Shell,,Unknown Reference Letters
336935,Sky-Dweller,Fluted,Gold Shell,,Unknown Reference Letters
116518LN,Daytona Cosmograph,Finely Engine Turned,18k Yellow Gold,LN,Lunette Noir (Black Bezel)
124060,Oyster Perpetual,Rotating Bezel,Stainless,,Unknown Reference Letters
18038,Day-Date (President),Fluted,18k Yellow Gold,,Unknown Reference Letters
228238,Day-Date 40,Fluted,18k Yellow Gold,,Unknown Reference Letters
126720VTNR,GMT-Master II,Engine Turned,Stainless,VTNR,"Verte Noir (Green Black Bezel, Left-handed GMT)"
116508,Daytona Cosmograph,Polished,18k Yellow Gold,,Unknown Reference Letters
126660,Sea-Dweller-Deepsea,Rotating Bezel,Stainless,,Unknown Reference Letters
126200,Datejust 36,Polished,Stainless,,Unknown Reference Letters
16628,Yacht-Master,Engine Turned,18k Yellow Gold,,Unknown Reference Letters
116520,Daytona,Engine Turned,Stainless,,Unknown Reference Letters
116610LN,Submariner,Finely Engine Turned,Stainless,LN,Lunette Noir (Black Bezel)
169622,Yacht-Master 29,Engine Turned,White Gold Filled,,Unknown Reference Letters
124300,Oyster Perpetual,Polished,Stainless,,Unknown Reference Letters
16710,GMT Master II,Finely Engine Turned,Stainless,,Unknown Reference Letters
124060,Oyster Perpetual,Rotating Bezel,Stainless,,Unknown Reference Letters
126900,Datejust,Polished,Stainless,,Unknown Reference Letters
15200,Oyster Perpetual Date,Polished,Stainless,,Unknown Reference Letters
116518LN,Daytona Cosmograph,Finely Engine Turned,18k Yellow Gold,LN,Lunette Noir (Black Bezel)
124273,Oyster Perpetual,Unknown Bezel,Stainless & Yellow Gold,,Unknown Reference Letters
126300,Datejust,Polished,Stainless,,Unknown Reference Letters
5513,Submariner,N/A,N/A,,Unknown Reference Letters
116334,Datejust II,Fluted,Stainless w/ 18k White Gold,,Unknown Reference Letters
126610lv,Submariner Date,Finely Engine Turned,Stainless,lv,Lunette Verte (Green Bezel)
224270,Explorer,Unknown Bezel,Stainless,,Unknown Reference Letters
116655,Yacht-Master,Pyramid,Gold Shell,,Unknown Reference Letters
116900,Air-King,Polished,Stainless,,Unknown Reference Letters
126610lv,Submariner Date,Finely Engine Turned,Stainless,lv,Lunette Verte (Green Bezel)
124273,Oyster Perpetual,Unknown Bezel,Stainless & Yellow Gold,,Unknown Reference Letters
16700,GMT Master II,Polished,Stainless,,Unknown Reference Letters
1665,Submariner Date,N/A,N/A,,Unknown Reference Letters
1601,Submariner Date,N/A,N/A,,Unknown Reference Letters
228396TBR,Day-Date 40,Unknown Bezel,Platinum,TBR,Tsetse Baguette Diamonds
126720VTNR,GMT-Master II,Engine Turned,Stainless,VTNR,"Verte Noir (Green Black Bezel, Left-handed GMT)"
126621,Submariner Date,Engine Turned,Yellow Gold Filled,,Unknown Reference Letters
278273,Datejust 31,Unknown Bezel,Stainless & Yellow Gold,,Unknown Reference Letters
124060,Oyster Perpetual,Rotating Bezel,Stainless,,Unknown Reference Letters
6917,Lady-Datejust,N/A,N/A,,Unknown Reference Letters
126233,Datejust 36,Fluted,Stainless & Yellow Gold,,Unknown Reference Letters
126713grnr,GMT-Master,Finely Engine Turned,Stainless & Yellow Gold,grnr,Gris Noir (Gray Black Bezel)
126610LN,Submariner,Finely Engine Turned,Stainless,LN,Lunette Noir (Black Bezel)
126711CHNR,GMT-Master,Finely Engine Turned,Yellow Gold Filled,CHNR,Chocolate Noir (Brown Black)
336934,Sky-Dweller,Fluted,Stainless w/ 18k White Gold,,Unknown Reference Letters
116610LV,Submariner,Finely Engine Turned,Stainless,LV,Lunette Verte (Green Bezel)
116619LB,Submariner,Finely Engine Turned,18k White Gold,LB,Lunette Bleu (Blue Bezel)
16610,Submariner Date,Finely Engine Turned,Stainless,,Unknown Reference Letters
126613lb,Submariner Date,Finely Engine Turned,Stainless & Yellow Gold,lb,Lunette Bleu (Blue Bezel)
116681,Submariner Date,Unknown Bezel,Yellow Gold Filled,,Unknown Reference Letters
116508,Daytona Cosmograph,Polished,18k Yellow Gold,,Unknown Reference Letters
126610lv,Submariner Date,Finely Engine Turned,Stainless,lv,Lunette Verte (Green Bezel)
126500ln,Datejust,Polished,Stainless,ln,Lunette Noir (Black Bezel)
126300,Datejust,Polished,Stainless,,Unknown Reference Letters
336934,Sky-Dweller,Fluted,Stainless w/ 18k White Gold,,Unknown Reference Letters
67180,Oyster Perpetual,Unknown Bezel,Stainless,,Unknown Reference Letters
126234,Datejust 36,Fluted,Stainless w/ 18k White Gold,,Unknown Reference Letters
6916,Lady-Datejust,N/A,N/A,,Unknown Reference Letters
126334,Datejust,Fluted,Stainless w/ 18k White Gold,,Unknown Reference Letters
116520,Daytona,Engine Turned,Stainless,,Unknown Reference Letters
124200,Oyster Perpetual,Polished,Stainless,,Unknown Reference Letters
126334,Datejust,Fluted,Stainless w/ 18k White Gold,,Unknown Reference Letters
126334,Datejust,Fluted,Stainless w/ 18k White Gold,,Unknown Reference Letters
116200,Datejust,Polished,Stainless,,Unknown Reference Letters
126610lv,Submariner Date,Finely Engine Turned,Stainless,lv,Lunette Verte (Green Bezel)
326934,Sky-Dweller,Fluted,Stainless w/ 18k White Gold,,Unknown Reference Letters
126603,Sea-Dweller,Polished,Stainless & Yellow Gold,,Unknown Reference Letters
116503,Daytona Cosmograph,Polished,Stainless & Yellow Gold,,Unknown Reference Letters
126334,Datejust,Fluted,Stainless w/ 18k White Gold,,Unknown Reference Letters
126000,Sea-Dweller-Deepsea,Polished,Stainless,,Unknown Reference Letters
16713,GMT Master II,Finely Engine Turned,Stainless & Yellow Gold,,Unknown Reference Letters
126610lv,Submariner Date,Finely Engine Turned,Stainless,lv,Lunette Verte (Green Bezel)
126710BLRO,GMT Master,Finely Engine Turned,Stainless,BLRO,Bleu Rouge (Blue Red)
126900,Datejust,Polished,Stainless,,Unknown Reference Letters
116261,Datejust 36,Rotating Bezel,Yellow Gold Filled,,Unknown Reference Letters
116000,Oyster Perpetual,Polished,Stainless,,Unknown Reference Letters
16600,Submariner Date,Polished,Stainless,,Unknown Reference Letters
16523,Daytona Cosmograph,Engine Turned,Stainless & Yellow Gold,,Unknown Reference Letters
126600,Sea-Dweller,Polished,Stainless,,Unknown Reference Letters
50505,Unknown Model,Polished,Gold Shell,,Unknown Reference Letters
126515LN,Datejust,Finely Engine Turned,Gold Shell,LN,Lunette Noir (Black Bezel)
126711CHNR,GMT-Master,Finely Engine Turned,Yellow Gold Filled,CHNR,Chocolate Noir (Brown Black)
18238,Day-Date (President),Fluted,18k Yellow Gold,,Unknown Reference Letters
126715CHNR,GMT-Master,Finely Engine Turned,Gold Shell,CHNR,Chocolate Noir (Brown Black)
116520,Daytona,Engine Turned,Stainless,,Unknown Reference Letters
16622,Yacht-Master,Engine Turned,White Gold Filled,,Unknown Reference Letters
16610,Submariner Date,Finely Engine Turned,Stainless,,Unknown Reference Letters
6265,Daytona Manual Wind,N/A,N/A,,Unknown Reference Letters
79160,Lady-Datejust,Rotating Bezel,Stainless,,Unknown Reference Letters
116519LN,Daytona,Finely Engine Turned,18k White Gold,LN,Lunette Noir (Black Bezel)
6694,Day-Date (President),N/A,N/A,,Unknown Reference Letters
216570,Explorer II,Unknown Bezel,Stainless,,Unknown Reference Letters
126200,Datejust 36,Polished,Stainless,,Unknown Reference Letters
126300,Datejust,Polished,Stainless,,Unknown Reference Letters
228235,Day-Date 40,Fluted,Gold Shell,,Unknown Reference Letters
1803,Day-Date (President),N/A,N/A,,Unknown Reference Letters
16570,Daytona Cosmograph,Unknown Bezel,Stainless,,Unknown Reference Letters
279173,Lady-Datejust,Unknown Bezel,Stainless & Yellow Gold,,Unknown Reference Letters
16520,Daytona,Engine Turned,Stainless,,Unknown Reference Letters
126710GRNR,GMT-Master,Finely Engine Turned,Stainless,GRNR,Gris Noir (Gray Black Bezel)
278274,Datejust 31,Unknown Bezel,Stainless w/ 18k White Gold,,Unknown Reference Letters
126000,Sea-Dweller-Deepsea,Polished,Stainless,,Unknown Reference Letters
114060,Submariner,Rotating Bezel,Stainless,,Unknown Reference Letters
126500ln,Datejust,Polished,Stainless,ln,Lunette Noir (Black Bezel)
228235,Day-Date 40,Fluted,Gold Shell,,Unknown Reference Letters
126300,Datejust,Polished,Stainless,,Unknown Reference Letters
126234,Datejust 36,Fluted,Stainless w/ 18k White Gold,,Unknown Reference Letters
16753,GMT Master II,Pyramid,Stainless & Yellow Gold,,Unknown Reference Letters
268655,Yacht-Master 37,Pyramid,Gold Shell,,Unknown Reference Letters
126334,Datejust,Fluted,Stainless w/ 18k White Gold,,Unknown Reference Letters
116234,Datejust,Fluted,Stainless w/ 18k White Gold,,Unknown Reference Letters
69173,Lady-Datejust,Unknown Bezel,Stainless & Yellow Gold,,Unknown Reference Letters
126000,Sea-Dweller-Deepsea,Polished,Stainless,,Unknown Reference Letters
179383,Unknown Model,Unknown Bezel,Stainless & Yellow Gold,,Unknown Reference Letters
116660,Sea-Dweller-Deepsea,Rotating Bezel,Stainless,,Unknown Reference Letters
126334,Datejust,Fluted,Stainless w/ 18k White Gold,,Unknown Reference Letters
16600,Submariner Date,Polished,Stainless,,Unknown Reference Letters
68274,Datejust 31,Unknown Bezel,Stainless w/ 18k White Gold,,Unknown Reference Letters
68240,Datejust 31,Hand-Crafted,Stainless,,Unknown Reference Letters
116500LN,Daytona,Polished,Stainless,LN,Lunette Noir (Black Bezel)
126503,Datejust,Polished,Stainless & Yellow Gold,,Unknown Reference Letters
226627,Yacht-Master 42,Engine Turned,14k Yellow Gold,,Unknown Reference Letters
16030,Datejust 36,Fluted,Stainless,,Unknown Reference Letters
116613LB,Submariner Date,Finely Engine Turned,Stainless & Yellow Gold,LB,Lunette Bleu (Blue Bezel)
16803,Submariner Date,Polished,Stainless & Yellow Gold,,Unknown Reference Letters
1601,Submariner Date,N/A,N/A,,Unknown Reference Letters
116610LV,Submariner,Finely Engine Turned,Stainless,LV,Lunette Verte (Green Bezel)
126710BLNR,GMT Master,Finely Engine Turned,Stainless,BLNR,Bleu Noir (Blue Black)
1603,Datejust 36,N/A,N/A,,Unknown Reference Letters
116200,Datejust,Polished,Stainless,,Unknown Reference Letters
126715CHNR,GMT-Master,Finely Engine Turned,Gold Shell,CHNR,Chocolate Noir (Brown Black)
126300,Datejust,Polished,Stainless,,Unknown Reference Letters
126334,Datejust,Fluted,Stainless w/ 18k White Gold,,Unknown Reference Letters
126300,Datejust,Polished,Stainless,,Unknown Reference Letters
116900,Air-King,Polished,Stainless,,Unknown Reference Letters
326935,Sky-Dweller,Fluted,Gold Shell,,Unknown Reference Letters
228238,Day-Date 40,Fluted,18k Yellow Gold,,Unknown Reference Letters
126613lb,Submariner Date,Finely Engine Turned,Stainless & Yellow Gold,lb,Lunette Bleu (Blue Bezel)
116610LV,Submariner,Finely Engine Turned,Stainless,LV,Lunette Verte (Green Bezel)
1665,Submariner Date,N/A,N/A,,Unknown Reference Letters
116900,Air-King,Polished,Stainless,,Unknown Reference Letters
126720VTNR,GMT-Master II,Engine Turned,Stainless,VTNR,"Verte Noir (Green Black Bezel, Left-handed GMT)"
16610LV,Submariner Date,Finely Engine Turned,Stainless,LV,Lunette Verte (Green Bezel)
16234,Datejust,Fluted,Stainless w/ 18k White Gold,,Unknown Reference Letters
116610LV,Submariner,Finely Engine Turned,Stainless,LV,Lunette Verte (Green Bezel)
18039,Day-Date (President),Fluted,18k White Gold,,Unknown Reference Letters
126500ln,Datejust,Polished,Stainless,ln,Lunette Noir (Black Bezel)
126713grnr,GMT-Master,Finely Engine Turned,Stainless & Yellow Gold,grnr,Gris Noir (Gray Black Bezel)
116660,Sea-Dweller-Deepsea,Rotating Bezel,Stainless,,Unknown Reference Letters
126715CHNR,GMT-Master,Finely Engine Turned,Gold Shell,CHNR,Chocolate Noir (Brown Black)
115200,Oyster Perpetual Date,Polished,Stainless,,Unknown Reference Letters
126200,Datejust 36,Polished,Stainless,,Unknown Reference Letters
116400,Milgauss,Polished,Stainless,,Unknown Reference Letters
228238,Day-Date 40,Fluted,18k Yellow Gold,,Unknown Reference Letters
116900,Air-King,Polished,Stainless,,Unknown Reference Letters
16600,Submariner Date,Polished,Stainless,,Unknown Reference Letters
116622,Submariner Date,Engine Turned,White Gold Filled,,Unknown Reference Letters
126610lv,Submariner Date,Finely Engine Turned,Stainless,lv,Lunette Verte (Green Bezel)
126333,Datejust 41,Fluted,Stainless & Yellow Gold,,Unknown Reference Letters
116233,Datejust,Fluted,Stainless & Yellow Gold,,Unknown Reference Letters
126500ln,Datejust,Polished,Stainless,ln,Lunette Noir (Black Bezel)
126660,Sea-Dweller-Deepsea,Rotating Bezel,Stainless,,Unknown Reference Letters
116610LV,Submariner,Finely Engine Turned,Stainless,LV,Lunette Verte (Green Bezel)
116234,Datejust,Fluted,Stainless w/ 18k White Gold,,Unknown Reference Letters
126603,Sea-Dweller,Polished,Stainless & Yellow Gold,,Unknown Reference Letters
116900,Air-King,Polished,Stainless,,Unknown Reference Letters
116234,Datejust,Fluted,Stainless w/ 18k White Gold,,Unknown Reference Letters
126660,Sea-Dweller-Deepsea,Rotating Bezel,Stainless,,Unknown Reference Letters
69173,Lady-Datejust,Unknown Bezel,Stainless & Yellow Gold,,Unknown Reference Letters
126711CHNR,GMT-Master,Finely Engine Turned,Yellow Gold Filled,CHNR,Chocolate Noir (Brown Black)
228238,Day-Date 40,Fluted,18k Yellow Gold,,Unknown Reference Letters
228238,Day-Date 40,Fluted,18k Yellow Gold,,Unknown Reference Letters
16613,Submariner Date,Finely Engine Turned,Stainless & Yellow Gold,,Unknown Reference Letters
126613lb,Submariner Date,Finely Engine Turned,Stainless & Yellow Gold,lb,Lunette Bleu (Blue Bezel)
16710,GMT Master II,Finely Engine Turned,Stainless,,Unknown Reference Letters
126710BLRO,GMT Master,Finely Engine Turned,Stainless,BLRO,Bleu Rouge (Blue Red)
224270,Explorer,Unknown Bezel,Stainless,,Unknown Reference Letters
16710,GMT Master II,Finely Engine Turned,Stainless,,Unknown Reference Letters
16220,Datejust,Engine Turned,Stainless,,Unknown Reference Letters
326935,Sky-Dweller,Fluted,Gold Shell,,Unknown Reference Letters
6610,Day-Date (President),N/A,N/A,,Unknown Reference Letters
116515ln,Daytona Cosmograph,Finely Engine Turned,Gold Shell,ln,Lunette Noir (Black Bezel)
126334,Datejust,Fluted,Stainless w/ 18k White Gold,,Unknown Reference Letters
126300,Datejust,Polished,Stainless,,Unknown Reference Letters
116400GV,Milgauss,Polished,Stainless,GV,Glace Verte (Green Crystal)
126000,Sea-Dweller-Deepsea,Polished,Stainless,,Unknown Reference Letters
326934,Sky-Dweller,Fluted,Stainless w/ 18k White Gold,,Unknown Reference Letters
126603,Sea-Dweller,Polished,Stainless & Yellow Gold,,Unknown Reference Letters
15233,Oyster Perpetual Date,Fluted,Stainless & Yellow Gold,,Unknown Reference Letters
6623,Day-Date (President),N/A,N/A,,Unknown Reference Letters
18238,Day-Date (President),Fluted,18k Yellow Gold,,Unknown Reference Letters
126300,Datejust,Polished,Stainless,,Unknown Reference Letters
16013,Submariner Date,Finely Engine Turned,Stainless & Yellow Gold,,Unknown Reference Letters
326934,Sky-Dweller,Fluted,Stainless w/ 18k White Gold,,Unknown Reference Letters
78274,Datejust 31,Unknown Bezel,Stainless w/ 18k White Gold,,Unknown Reference Letters
126334,Datejust,Fluted,Stainless w/ 18k White Gold,,Unknown Reference Letters
126334,Datejust,Fluted,Stainless w/ 18k White Gold,,Unknown Reference Letters
126610lv,Submariner Date,Finely Engine Turned,Stainless,lv,Lunette Verte (Green Bezel)
126334,Datejust,Fluted,Stainless w/ 18k White Gold,,Unknown Reference Letters
116660,Sea-Dweller-Deepsea,Rotating Bezel,Stainless,,Unknown Reference Letters
336933,Sky-Dweller,Fluted,Stainless & Yellow Gold,,Unknown Reference Letters
126710BLNR,GMT Master,Finely Engine Turned,Stainless,BLNR,Bleu Noir (Blue Black)
126710BLRO,GMT Master,Finely Engine Turned,Stainless,BLRO,Bleu Rouge (Blue Red)
16610,Submariner Date,Finely Engine Turned,Stainless,,Unknown Reference Letters
